Tipo;Producto;AlfaBeta;Troquel;CodBarraPrinc;Laboratorio;Precio;Neto;CadenaFrio;RequiereVale;Trazable
D;ACC EXPEC 600 MG CPR EFERV X 10;42683;5713681;7792069477017;SANDOZ;408,66;0;0;0;0
D;ACC EXPEC 600 MG CPR EFERV X 20;42684;5713682;7792069477024;SANDOZ;664,80;0;0;0;0
D;ACC P/DOBLE CONTR COLON E Z EM;08806;9993008;7795337911237;TEMIS LOSTALO;4522,32;1;0;0;0
D;ACCESUM 500 MG CPR REC X 60;35246;5219362;7793213591078;ROUX OCEFA;808,81;0;0;0;0
D;ACCU-CHEK ACTIVE GLUC TIRAS ENV X 25;29222;5000162;4015630064175;ROCHE DIABETES CARE ARG.;839,26;1;0;0;0
D;ACCU-CHEK ACTIVE GLUC TIRAS X 50;29223;5000163;4015630064076;ROCHE DIABETES CARE ARG.;1511,34;1;0;0;0
D;ACCU-CHEK FASTCLIX KIT X 1;;9985066;4015630065585;ROCHE DIABETES CARE ARG.;574,66;1;0;0;0
D;ACCU-CHEK GUIDE GLUC TIRAS ENV X 25;;9986588;4015630066834;ROCHE DIABETES CARE ARG.;839,26;1;0;0;0
D;ACCU-CHEK GUIDE GLUC TIRAS ENV X 50;;9986589;4015630066841;ROCHE DIABETES CARE ARG.;1511,34;1;0;0;0
D;ACCU-CHEK GUIDE KIT MEDIDOR X 1;;9986590;4015630067572;ROCHE DIABETES CARE ARG.;1415,57;1;0;0;0
D;ACCU-CHEK PERFORMA CONTROL SOL FCO X 2;40742;9981005;4015630007257;ROCHE DIABETES CARE ARG.;253,29;1;0;0;0
D;ACCU-CHEK PERFORMA GLUC TIRAS ENV X 25;40740;05000181;4015630981960;ROCHE DIABETES CARE ARG.;839,26;1;0;0;0
D;ACCU-CHEK PERFORMA GLUC TIRAS ENV X 50;40741;5000182;4015630981977;ROCHE DIABETES CARE ARG.;1511,34;1;0;0;0
D;ACCU-CHEK PERFORMA KIT X 1;40739;9981006;4015630982264;ROCHE DIABETES CARE ARG.;1415,57;1;0;0;0
D;ACCU-CHEK SMART PIX X 2;;9984484;4015630006618;ROCHE DIABETES CARE ARG.;11254,05;1;0;0;0
D;ACCU-CHEK SOFTCLIX PUNZADOR KIT X 1;22176;9991458;4015630018239;ROCHE DIABETES CARE ARG.;270,41;1;0;0;0
D;ACEITE DE ALM EWE DUL X 30 ML;03139;9993903;7797811099509;SANITAS;112,06;1;0;0;0
D;ACEITE DE ALM EWE DUL X 50 ML;03140;9993906;7797811099516;SANITAS;152,04;1;0;0;0
D;ACEITE DE ARGAN EWE X 50 ML;;9987050;7797811099462;SANITAS;254,26;1;0;0;0
D;ACEITE DE CHIA NUTRIFARMA CAP X 30;;9984150;7791984999932;FRANKLIN MILLET;303,48;1;0;0;0
D;ACEITE DE PESCADO OMEGA3 NUTRIFARMA CAP X30;;9984151;7791984999956;FRANKLIN MILLET;305,18;1;0;0;0
D;ACEITE DE RICINO EWE X 30 ML;03141;9993909;7797811099400;SANITAS;100,43;1;0;0;0
D;ACEITE DE RICINO EWE X 50 ML;03142;9993912;7797811099417;SANITAS;141,43;1;0;0;0
D;ACEITE DE SILICONA EWE AER X 170 GR;;9987116;7797811099905;SANITAS;318,33;1;0;0;0
D;ACEMUK 200 MG TABL EFERV X 10;;4323943;7795380000773;INVESTI FARMA;445,39;0;0;0;0
D;ACEMUK 600 MG TABL EFERV X 10;21646;4324010;7795380004092;INVESTI FARMA;501,60;0;0;0;0
D;ACEMUK 600 MG TABL EFERV X 10 DISPENSER X10;;9985546;7795380002104;INVESTI FARMA;5016,21;0;0;0;0
D;ACEMUK 600 MG TABL EFERV X 10 PACK X 10;;9984620;7795380001466;INVESTI FARMA;5016,22;0;0;0;0
D;ACEMUK 600 MG TABL EFERV X 20;21647;4324011;7795380004108;INVESTI FARMA;815,21;0;0;0;0
D;ACEMUK 600 MG TABL EFERV X 60;;4324013;7795380042797;INVESTI FARMA;2160,11;0;0;0;0
D;ACEMUK BIOTIC DUO CPR REC X 14;40035;5615554;7795380004436;INVESTI FARMA;569,55;0;0;0;0
D;ACEMUK DIA Y NOCHE CPR EFERV X 12+4;;5916002;7795380042780;INVESTI FARMA;530,28;0;0;0;0
D;ACEMUK JAR X 100;29676;4837351;7795380004139;INVESTI FARMA;413,29;0;0;0;0
D;ACEMUK L CPR X 20;41877;5752684;7795380010437;INVESTI FARMA;395,81;0;0;0;0
D;ACERPES 400 MG CPR X 20;28987;4511883;7795380004054;INVESTI FARMA;562,02;0;0;0;0
D;ACERPES 5% CR X 5 GR;23499;4511622;7795380004085;INVESTI FARMA;248,52;0;0;0;0
D;ACERPES 5% CR X 5 GR EXHIB X 10;;9982366;7795380000230;INVESTI FARMA;2485,25;0;0;0;0
D;ACERPES 800 MG CPR X 20;28983;4511963;7795380004061;INVESTI FARMA;1031,18;0;0;0;0
D;ACETA 250 MG CPR X 20;;6209711;7795373022584;BIOCEUTICA;453,92;0;0;0;0
D;ACETILCISTEINA TEVA 600 MG CPR EFERV X 10;;6459971;7795326020377;IVAX;414,05;0;0;0;0
D;ACI TIP SUSP X 200 ML;00076;3086942;7795345002033;INVESTI FARMA;472,47;0;0;0;0
D;ACICLOVIR FILAXIS 500 MG POLVO LIOF INY X 1;14701;3744551;7798007800305;FILAXIS;197,00;0;0;0;0
D;ACIDO FOLICO OMEGA 1 MG CPR X 30;33812;5226801;7795339005170;OMEGA;459,29;0;0;0;0
D;ACIDO FOLICO OMEGA 5 MG CPR X 30;33813;5226961;7795339005187;OMEGA;530,70;0;0;0;0
D;ACIDO FOLICO VANNIER 5 MG CPR X 30;29398;4537201;7795372000774;VANNIER;390,30;0;0;0;0
D;ACIFOL 1 MG CPR X 30;13418;3444321;7795327000040;DOMINGUEZ;409,14;0;0;0;0
D;ACIFOL 1 MG CPR X 60;13419;3444322;7795327000057;DOMINGUEZ;695,39;0;0;0;0
D;ACIFOL 10 MG CPR X 30;22693;4465431;7795327061300;DOMINGUEZ;844,71;0;0;0;0
D;ACIFOL 10 MG CPR X 60;22694;4465432;7795327061317;DOMINGUEZ;1383,42;0;0;0;0
D;ACIFOL 5 MG CPR X 30;16231;3978451;7795327060082;DOMINGUEZ;537,10;0;0;0;0
D;ACIFOL 5 MG CPR X 60;16232;3978452;7795327060099;DOMINGUEZ;914,43;0;0;0;0
D;ACIFOL B12 CPR REC X 30;33856;5097631;7795327061980;DOMINGUEZ;800,21;0;0;0;0
D;ACIFOL B12 CPR REC X 60;33859;5097632;7795327061997;DOMINGUEZ;1363,41;0;0;0;0
D;ACIFOL FE CPR X 30;;6400971;7795327064684;DOMINGUEZ;964,38;0;0;0;0
D;ACIFOL FE CPR X 60;;6400972;7795327064691;DOMINGUEZ;1745,84;0;0;0;0
D;ACIFOL GTS X 10 ML;33442;4930571;7795327060167;DOMINGUEZ;547,41;0;0;0;0
D;ACIFUSIN B CR X 15 GR;42665;5702391;7793742002144;ANDROMACO;661,48;0;0;0;0
D;ACIFUSIN CR X 15 GR;42663;5702131;7793742002137;ANDROMACO;559,36;0;0;0;0
D;ACIFUSIN UNG X 15 GR;42664;5702261;7793742002120;ANDROMACO;483,00;0;0;0;0
D;ACILEP L 30 MG CAP X 30;;5476132;7798011653041;LEPETIT PHARMA;205,00;0;0;0;0
D;ACILEP O 20 MG CAP X 30;;6396552;7798011653232;LEPETIT PHARMA;580,00;0;0;0;0
D;ACIMED 20 MG CAP X 15;28319;4634303;7795344001105;LEPETIT PHARMA;287,96;0;0;0;0
D;ACIMED 20 MG CAP X 30;26003;4634302;7795344001075;LEPETIT PHARMA;743,36;0;0;0;0
D;ACIMED 40 MG CAP X 15;;4634481;7798011653348;LEPETIT PHARMA;371,68;0;0;0;0
D;ACIMED 40 MG CAP X 30;;4634482;7798011653355;LEPETIT PHARMA;743,36;0;0;0;0
D;ACIMED L 30 MG CAP X 30;;05476132;7798011653317;LEPETIT PHARMA;575,00;0;0;0;0
D;ACIPO-UN COLUT X 200 ML;;9983203;7798030237147;MEDIPHARMA;390,00;0;0;0;0
D;ACIVAL CPR X 30;10818;3360911;7798113701015;GEMINIS FARMACEUTICA;400,26;0;0;0;0
D;ACIVAL CPR X 60;;5939713;7798113701039;GEMINIS FARMACEUTICA;671,43;0;0;0;0
D;ACLASTA 5 MG FCO AMP X 100 ML;38128;5472971;7795306045659;SANDOZ;20111,29;0;0;0;1
D;ACLER 5% CR X 20 GR;40612;560171;7798021111470;THERABEL;1192,48;0;0;0;0
D;ACLOSAN 0,4 MG CAP X 30;24731;4655431;7795376000978;GOBBI NOVAG;1593,59;0;0;0;0
D;ACLUSIN 100 MG CPR X 30;43492;5778841;7791909116123;CASASCO;1348,72;0;0;0;0
D;ACLUSIN 100 MG CPR X 60;;5778842;7791909116130;CASASCO;2291,29;0;0;0;0
D;ACLUSIN 50 MG CPR X 30;43491;5778711;7791909116017;CASASCO;741,93;0;0;0;0
D;ACNECLIN 100 AP CAP X 30;22085;4434243;7795380041981;INVESTI FARMA;1435,20;0;0;0;0
D;ACNECLIN CPR X 30;16603;3990312;7795380041974;INVESTI FARMA;754,79;0;0;0;0
D;ACNESAN 10% GEL X 40;30461;2938872;7794428010040;LABORATORIOS INGENS;681,37;0;0;0;0
D;ACNESAN 5% GEL X 40;30460;2938792;7794428010033;LABORATORIOS INGENS;569,70;0;0;0;0
D;ACNESAN 5% GEL X 60;03750;2938791;7794428010057;LABORATORIOS INGENS;715,09;0;0;0;0
D;ACNETROL GEL X 60 GR;02646;9994798;7798024330014;LAGOS;1038,68;1;0;0;0
D;ACNETROL LOC X 130 ML;00923;9994797;7798024330021;LAGOS;1084,96;1;0;0;0
D;ACNIBEN GEL LIMP X 150 ML;;9984317;8470003245913;ISDIN;832,17;1;0;0;0
D;ACNIBEN RX EMUL LIMP X 200 ML;;9984336;8470002000698;ISDIN;789,83;1;0;0;0
D;ACNIBEN RX GEL CR HIDRAT X 40 ML;;9984301;8470002000704;ISDIN;910,91;1;0;0;0
D;ACNIBEN RX LIPS X 10 ML;;9984303;8470001509802;ISDIN;534,15;1;0;0;0
D;ACNIBEN TS BODY SPRAY X 150 ML;;9986497;8470001806475;ISDIN;924,53;1;0;0;0
D;ACNOXIN GEL X 45 GR;;0587524;7793742006302;ANDROMACO;855,60;0;0;0;0
D;ACNOXIN LOC X 140 ML;;0587522;7793742006203;ANDROMACO;609,96;0;0;0;0
D;ACNOXIN SPRAY X 140 ML;;0587523;7793742000461;ANDROMACO;746,12;0;0;0;0
D;ACRYLARM GEL OFT X 10 G;22474;4296482;7795368001501;POEN;573,92;0;0;0;0
D;ACRYLARM PLUS GEL OFT X 10 GR;42470;5687391;7795368055344;POEN;587,66;0;0;0;0
D;ACT - HIB FCO AMP X 1;13035;3391601;7798015780033;SANOFI-PASTEUR;919,40;0;1;0;0
D;ACTEMRA 400 MG/20 ML IV FCO AMP X 1;;9987584;7792371933881;ROCHE;73271,11;0;1;0;1
D;ACTEMRA 80 MG/4 ML IV FCO AMP X 1;;9987583;7792371933843;ROCHE;14654,11;0;1;0;1
D;ACTHEL GEL FCO AMP X 40 UI;;0423411;7798006870323;GP PHARMA;7216,50;0;1;0;0
D;ACTHEL LIOF FCO AMP X 25 UI;;2057251;7798006870576;GP PHARMA;6374,20;0;1;0;0
D;ACTINERVAL CPR X 30;10634;3366611;7790375000011;BAGO;615,07;0;0;0;0
D;ACTINERVAL CPR X 60;10635;3366613;7790375000028;BAGO;1177,14;0;0;0;0
D;ACTISON 100 MG CPR REC X 30;37580;5248812;7791992884893;BUXTON;1058,00;0;0;0;0
D;ACTISON 100 MG CPR REC X 60;35150;5248813;7791992884886;BUXTON;1872,20;0;0;0;0
D;ACTIVIL 100 MG CPR REC X 2;22216;4468821;7791909114594;CASASCO;299,48;0;0;0;0
D;ACTIVIL 50 MG CPR MAST X 2;40969;5695421;7791909114808;CASASCO;231,30;0;0;0;0
D;ACTIVIL 50 MG CPR MAST X 20;40971;5695423;7791909114853;CASASCO;2295,80;0;0;0;0
D;ACTOBIAN 400 MG CPR X 20;;5935556;7798032934136;SAVANT PHARM;760,95;0;0;0;0
D;ACTRON FLEX 400/250 MG CAP X 10;;6393971;7793640991960;BAYER;218,96;0;0;0;0
D;ACTRON MUJER FTE RAP ACCION CAP X 10;;9984194;7793640215547;BAYER;86,50;0;0;0;0
D;ACTRON PED 2% SUSP X 180 ML;;9987186;7793640992011;BAYER;264,00;0;0;0;0
D;ACTRON PED 2% SUSP X 180 ML(-20%OFF);;9987560;7793640992219;BAYER;211,20;0;0;0;0
D;ACTRON PED 4% SUSP X 100 ML;;6051391;7793640002093;BAYER;311,88;0;0;0;0
D;ACTRON PED 4% SUSP X 180 ML;;6051392;7793640992004;BAYER;494,04;0;0;0;0
D;ACTRON PED SUSP X 100 ML;33449;9990370;7793640215509;BAYER;153,50;0;0;0;0
D;ACTRON PLUS PROMO RAP ACCION CAP X 8(-20%);;9987592;7793640992226;BAYER;81,20;0;0;0;0
D;ACTRON PLUS RAP ACCION CAP X 8;;9986424;7793640001065;BAYER;101,50;0;0;0;0
D;ACTRON RAP ACCION 600 MG CAP X 10;34037;5229911;7793640215523;BAYER;201,02;0;0;0;0
D;ACTRON RAP ACCION 600 MG CAP X 20;41637;5229912;7793640215622;BAYER;377,66;0;0;0;0
D;ACTRON RAP ACCION CAP X 10;30127;9997382;7793640215479;BAYER;86,50;0;0;0;0
D;ACTRON RAP ACCION CAP X 20;30128;9997387;7793640215486;BAYER;162,00;0;0;0;0
D;ACTUAL CPR MAST X 10;;9980021;7790375001285;BAGO;173,38;0;0;0;0
D;ACTUAL CPR MAST X 70;;9986836;7790375267537;BAGO;1098,14;0;0;0;0
D;ACTUAL PANTO 24 CPR REC X 14;;9984455;7790375002015;BAGO;196,39;0;0;0;0
D;ACULAR ENV X 5 ML;15467;3920431;7795316021810;ALLERGAN LOA;729,94;0;0;0;0
D;ACULAR LS SOL OFT X 5 ML;38945;5543971;7795316915201;ALLERGAN LOA;973,67;0;0;0;0
D;ACUVAIL SOL OFT 0,45% UNIDOSIS X 30;;6067711;7795316000099;ALLERGAN LOA;1024,00;0;0;0;0
D;ADACEL FCO AMP X 0,5 ML;;591197;7798015781108;SANOFI-PASTEUR;2509,86;0;1;0;0
D;ADALAT OROS 30 MG CPR X 30;15276;3144693;7793640001874;BAYER;601,49;0;0;0;0
D;ADAPNE 0,1% GEL X 30 GR;38677;5475001;7798167580161;VALUGE S.A.;821,50;0;0;0;0
D;ADAPNE 0,3% GEL X 30 GR;;58889701;7798167580178;VALUGE S.A.;993,62;0;0;0;0
D;ADAPNE DUO FTE GEL X 30 GR;;9987431;7798167580949;VALUGE S.A.;1281,66;0;0;0;0
D;ADAPNE DUO GEL X 30 GR;;5939261;7798167580079;VALUGE S.A.;1135,47;0;0;0;0
D;ADECONCE SOL ORAL X 20 ML;;523406;7798021295972;LAFEDAR;397,71;0;0;0;0
D;ADENIL B CR X 15 GR;;4781741;7798160690256;LEPETIT PHARMA;259,44;0;0;0;0
D;ADENIL CR X 20 GR;;4578054;7798160690089;LEPETIT PHARMA;376,28;0;0;0;0
D;ADENOSINA BIOL AMP X 10;;450057;7792796472729;BIOL;2201,44;0;0;0;0
D;ADERMA EXOMEGA CR EMOLIENTE CONTR X 400ML;;P303353;7798095419724;PIERRE FABRE;1275,58;1;0;0;0
D;ADERMICINA A CR X 30 G;18444;9998899;7792819001103;SANOFI AVENTIS;479,00;0;0;0;0
D;ADEROGYL AMP X 1;07960;484301;7791984000232;FRANKLIN MILLET;264,72;0;0;0;0
D;ADHESOL BIOL LIQ X 30 ML;16856;9992740;7792796000526;BIOL;331,57;0;0;0;0
D;ADHESOL LIQ X 92 ML;01455;9991178;7792796000014;BIOL;826,63;0;0;0;0
D;ADIKAN 20 MG CAP X 14;;6052391;7798161930030;ROSSMORE;1200,17;0;0;0;0
D;ADIKAN 20 MG CAP X 28;;6052392;7798161930047;ROSSMORE;2334,87;0;0;0;0
D;ADIKAN 20 MG CAP X 42;;6052393;7798161930283;ROSSMORE;2334,87;0;0;0;0
D;ADIKAN 40 MG CAP X 14;;6052421;7798161930054;ROSSMORE;1700,03;0;0;0;0
D;ADIKAN 40 MG CAP X 28;;6052422;7798161930061;ROSSMORE;3349,49;0;0;0;0
D;ADIKAN 40 MG CAP X 42;;6052423;7798161930290;ROSSMORE;3349,49;0;0;0;0
D;ADITAL POLVO X 280 GR;22349;4461212;7795376000800;GOBBI NOVAG;166,22;0;0;0;0
D;ADIUVAN 2 MG CPR X 30;33721;4819033;7795347971108;LAZAR;375,00;0;0;0;0
D;ADIUVAN 4 MG CPR X 30;33722;4819113;7795347971115;LAZAR;667,59;0;0;0;0
D;ADIUVAN MET 2/1000 MG CPR X 30;;5876841;7795347000433;LAZAR;434,26;0;0;0;0
D;ADIUVAN MET 4/1000 MG CPR X 30;;5876971;7795347000457;LAZAR;751,85;0;0;0;0
D;ADOLCAS CPR X 60;10756;3397642;7791909288134;CASASCO;1107,53;0;0;0;0
D;ADRENALINA BIOL AMP X 10;01456;0964631;7792796000038;BIOL;687,53;0;0;0;0
D;ADROMUX 150 MG CPR X 1;42335;5669971;7792183488944;GADOR;1459,90;0;0;0;0
D;ADROMUX 150 MG CPR X 3;;5669973;7792183000993;GADOR;3533,28;0;0;0;0
D;AERIUS CPR X 10;28809;4905902;7793081012217;MSD ARGENTINA;775,40;0;0;0;0
D;AERIUS CPR X 30;28810;4905905;7793081012224;MSD ARGENTINA;1911,58;0;0;0;0
D;AEROCAMARA ANTIESTATICA C/MASC AD X 1;;9984934;7794640820731;GLAXOSMITHKLINE;2193,30;1;0;0;0
D;AEROCAMARA ANTIESTATICA C/MASC BEBE X 1;;9984932;7794640820717;GLAXOSMITHKLINE;2193,22;1;0;0;0
D;AEROCAMARA ANTIESTATICA C/MASC NÑ X 1;;9984931;7794640820724;GLAXOSMITHKLINE;2193,27;1;0;0;0
D;AEROCAMARA ANTIESTATICA S/MASC AD X 1;;9984935;7794640820700;GLAXOSMITHKLINE;1599,80;1;0;0;0
D;AEROCAMARA DF P/AER MDI C/MASC X 1;;9985106;7798050060718;DENVER FARMA;32,43;1;0;0;0
D;AEROCAMARA SAN-UP C/MASC P/AD(3210)ENV X 1;;9980420;7793647741834;SAN UP;961,25;1;0;0;0
D;AEROCAMARA SAN-UP C/MASC P/INF(3220)ENV X 1;;9980421;7793647741858;SAN UP;911,65;1;0;0;0
D;AEROCAMARA SAN-UP C/MASC P/LAC(3221)ENV X 1;;9980422;7793647741865;SAN UP;873,95;1;0;0;0
D;AEROCAMARA SILFAB C/ADAPTADOR BUCAL(PA01)X1;;9983675;7798028881253;SILFAB;445,20;1;0;0;0
D;AEROCAMARA SILFAB SET C/MASC AD(PA05)X 1;;9985696;7798028882618;SILFAB;577,44;1;0;0;0
D;AEROCAMARA SILFAB SET C/MASC NEONAT(PA07)X1;;9985698;7798028882632;SILFAB;548,28;1;0;0;0
D;AEROCAMARA SILFAB SET C/MASC NIÑO(PA06)X 1;;9985697;7798028882625;SILFAB;548,28;1;0;0;0
D;AEROGAL N 4 ENV X 170 GR;10912;3377761;7791763002358;RAYMOS;612,29;0;0;0;0
D;AEROLEP AER X 250 DS;;5031922;7798160690096;LEPETIT PHARMA;556,60;0;0;0;0
D;AEROMED CASSARA ESPACIADOR P/AER X 1;;9987527;7795373010314;CASSARA;376,86;1;0;0;0
D;AEROPIEL SPRAY X 255 ML;;9984601;7794207000729;OFAR;363,64;1;0;0;0
D;AEROTINA 10 MG CPR X 10;14589;3297651;7798084680128;RAFFO;152,04;0;0;0;0
D;AEROTINA 10 MG CPR X 30;14590;3297652;7798084680135;RAFFO;406,06;0;0;0;0
D;AEROTINA JAR PED X 60 ML C/DOSIF;;9985635;7798084684898;RAFFO;369,76;0;0;0;0
D;AEROTINA RAPIDA ACCION 10 MG CAP X 7;;9984122;7798084683228;RAFFO;176,94;0;0;0;0
D;AEROTROP HFA AER X 250 DS;;5827006;7795373013087;CASSARA;602,79;0;0;0;0
D;AEROTROP SPRAY NASAL X 120 DS;44319;5850396;7795373011205;CASSARA;369,55;0;0;0;0
D;AEROVENT AER BR X 60 DS;38384;5252411;7795373010215;CASSARA;168,00;0;0;0;0
D;AEROVIA ATLAS AEROCAMARA X 1;;9983310;7798097890972;ATLAS FARMACEUTICA;501,65;1;0;0;0
D;AEROVIAL HFA AER X 200 DS;;599384;7798097890958;ATLAS FARMACEUTICA;902,25;0;0;0;0
D;AEROVIAL SUSP P/NEBUL X 20 ML+DILUY X 60 ML;;587726;7798097890828;ATLAS FARMACEUTICA;622,37;0;0;0;0
D;AEROXINA 250 MG SUSP X 60;30307;5008341;7796285050153;LABORATORIO ELEA  PHOENIX;966,40;0;0;0;0
D;AEROXINA 500 MG CPR X 16;28045;4208101;7796285050023;LABORATORIO ELEA  PHOENIX;1146,97;0;0;0;0
D;AEROXINA UD 500 MG CPR X 10;28047;4873652;7796285050047;LABORATORIO ELEA  PHOENIX;736,01;0;0;0;0
D;AEROXINA UD 500 MG CPR X 5;28046;4873651;7791848250032;LABORATORIO ELEA  PHOENIX;413,52;0;0;0;0
D;AEROXINA UD 500 MG CPR X 8;31701;4873654;7791848250636;LABORATORIO ELEA  PHOENIX;664,85;0;0;0;0
D;AESIM 200 MG CPR X 20;;4403471;7798160690072;LEPETIT PHARMA;299,00;0;0;0;0
D;AET 0.25% AMP X 2;12636;3638201;7792234088352;CRAVERI;929,26;0;0;0;0
D;AET 0.5 % INY X 2;02084;2160111;7792234088291;CRAVERI;958,80;0;0;0;0
D;AET 1% INY X 2;02085;2298321;7792234088307;CRAVERI;989,23;0;0;0;0
D;AET 2% INY X 2;02087;2298661;7792234088321;CRAVERI;1095,04;0;0;0;0
D;AET 3% INY X 2;02088;2298581;7792234088338;CRAVERI;1559,98;0;0;0;0
D;AET 4% INY X 2;02089;2299991;7792234088345;CRAVERI;1614,14;0;0;0;0
D;AFEBRIL 200 MG CPR MAST X 10;43175;9981790;7790375266875;BAGO;24,50;0;0;0;0
D;AFEBRIL FTE 40 MG SUSP X 100 ML;36161;5360394;7790375261887;BAGO;325,30;0;0;0;0
D;AFEME CPR X 20;11100;2237271;7795330000013;CETUS;278,60;0;0;0;0
D;AFENEXIL 20 MG CPR REC X 30;33093;5150372;7795337909418;TEMIS LOSTALO;1333,03;0;0;0;0
D;AFIANCEN 20 MG CPR REC X 30;33168;5192521;7791992000163;BUXTON;1318,36;0;0;0;1
D;AFIDAT 100 MG CPR X 30;;5933711;7791992000033;BUXTON;2668,00;0;0;0;1
D;AFIDAT 200 MG CPR X 30;;5933841;7791992000040;BUXTON;3404,00;0;0;0;1
D;AFIDAT 25 MG CPR X 30;;5933682;7791992000026;BUXTON;1564,00;0;0;0;1
D;AFLAT GTS PED X 30 ML;18045;4112811;7795339000588;OMEGA;103,10;0;0;0;0
