"IDComprobante","Pago","Concepto","IDTarjeta","Importe","AlicuotaPercepMun","IdComprobanteVale","IdMedioDePago","TarjCupon","TarjNumero","TarjEstado","IDCheque","idTransferencia"
544,1,"CONTADO",,0,0,,1,"","","",,
545,1,"CONTADO",,68.83,0,,1,"","","",,
546,1,"CONTADO",,67.19,0,,1,"","","",,
547,1,"CONTADO",,35.97,0,,1,"","","",,
548,1,"CONTADO",,158.1,0,,1,"","","",,
549,1,"CONTADO",,33.73,0,,1,"","","",,
550,1,"CONTADO",,0,0,,1,"","","",,
552,1,"CONTADO",,880,0,,1,"","","",,
553,1,"CONTADO",,28,0,,1,"","","",,
555,1,"CONTADO",,300,0,,1,"","","",,
556,1,"CONTADO",,151.12,0,,1,"","","",,
557,1,"CONTADO",,0,0,,1,"","","",,
558,1,"CONTADO",,0,0,,1,"","","",,
559,1,"CONTADO",,0,0,,1,"","","",,
560,1,"CONTADO",,89.59,0,,1,"","","",,
561,1,"CONTADO",,34.46,0,,1,"","","",,
562,1,"CONTADO",,0,0,,1,"","","",,
563,1,"CONTADO",,123.5,0,,1,"","","",,
564,1,"CONTADO",,98.8,0,,1,"","","",,
567,1,"CONTADO",,21.04,0,,1,"","","",,
568,1,"CONTADO",,47.02,0,,1,"","","",,
569,1,"CONTADO",,205.46,0,,1,"","","",,
570,1,"CONTADO",,95.58,0,,1,"","","",,
571,1,"CONTADO",,81.38,0,,1,"","","",,
572,1,"CONTADO",,25.55,0,,1,"","","",,
576,1,"CONTADO",,0,0,,1,"","","",,
577,1,"CONTADO",,0,0,,1,"","","",,
578,1,"CONTADO",,579.85,0,,1,"","","",,
579,1,"CONTADO",,86.6,0,,1,"","","",,
580,1,"CONTADO",,30.17,0,,1,"","","",,
581,1,"CONTADO",,59.91,0,,1,"","","",,
585,1,"CONTADO",,163.01,0,,1,"","","",,
587,1,"CONTADO",,0,0,,1,"","","",,
588,1,"CONTADO",,119.47,0,,1,"","","",,
589,1,"CONTADO",,43.02,0,,1,"","","",,
593,1,"CONTADO",,16.65,0,,1,"","","",,
595,1,"CONTADO",,61.56,0,,1,"","","",,
601,1,"CONTADO",,402.58,0,,1,"","","",,
602,1,"CONTADO",,38.09,0,,1,"","","",,
603,1,"CONTADO",,19.55,0,,1,"","","",,
605,1,"CONTADO",,0,0,,1,"","","",,
606,1,"CONTADO",,143.71,0,,1,"","","",,
607,1,"CONTADO",,0,0,,1,"","","",,
610,1,"CONTADO",,0,0,,1,"","","",,
611,1,"CONTADO",,35.91,0,,1,"","","",,
612,1,"CONTADO",,22.6,0,,1,"","","",,
613,1,"CONTADO",,0,0,,1,"","","",,
614,1,"CONTADO",,96.21,0,,1,"","","",,
615,1,"CONTADO",,0,0,,1,"","","",,
616,1,"CONTADO",,30.47,0,,1,"","","",,
617,1,"CONTADO",,64.16,0,,1,"","","",,
618,1,"CONTADO",,22.9,0,,1,"","","",,
621,1,"CONTADO",,99.8,0,,1,"","","",,
622,1,"CONTADO",,87.2,0,,1,"","","",,
623,1,"CONTADO",,30.15,0,,1,"","","",,
624,1,"CONTADO",,26.95,0,,1,"","","",,
627,1,"CONTADO",,19.58,0,,1,"","","",,
628,1,"CONTADO",,77.86,0,,1,"","","",,
635,1,"CONTADO",,0,0,,1,"","","",,
636,1,"CONTADO",,0,0,,1,"","","",,
637,1,"CONTADO",,0,0,,1,"","","",,
638,1,"CONTADO",,132.52,0,,1,"","","",,
639,1,"CONTADO",,132.98,0,,1,"","","",,
642,1,"CONTADO",,34.5,0,,1,"","","",,
643,1,"CONTADO",,93.97,0,,1,"","","",,
646,1,"CONTADO",,222.4,0,,1,"","","",,
647,1,"CONTADO",,0,0,,1,"","","",,
648,1,"CONTADO",,596.1,0,,1,"","","",,
650,1,"CONTADO",,33.97,0,,1,"","","",,
651,1,"CONTADO",,672.03,0,,1,"","","",,
652,1,"CONTADO",,94.11,0,,1,"","","",,
653,1,"CONTADO",,314.26,0,,1,"","","",,
656,1,"CONTADO",,0,0,,1,"","","",,
659,1,"CONTADO",,22.61,0,,1,"","","",,
660,1,"CONTADO",,149.8,0,,1,"","","",,
661,1,"CONTADO",,22.61,0,,1,"","","",,
663,1,"CONTADO",,54.56,0,,1,"","","",,
664,1,"CONTADO",,185.12,0,,1,"","","",,
666,1,"CONTADO",,312.64,0,,1,"","","",,
668,1,"CONTADO",,0,0,,1,"","","",,
669,1,"CONTADO",,144.2,0,,1,"","","",,
670,1,"CONTADO",,128.7,0,,1,"","","",,
671,1,"CONTADO",,31.76,0,,1,"","","",,
672,1,"CONTADO",,0,0,,1,"","","",,
673,1,"CONTADO",,35,0,,1,"","","",,
674,1,"CONTADO",,54.54,0,,1,"","","",,
675,1,"CONTADO",,79.6,0,,1,"","","",,
676,1,"CONTADO",,35.07,0,,1,"","","",,
677,1,"CONTADO",,54.03,0,,1,"","","",,
678,1,"CONTADO",,53.41,0,,1,"","","",,
679,1,"CONTADO",,49.62,0,,1,"","","",,
680,1,"CONTADO",,1600,0,,1,"","","",,
682,1,"CONTADO",,49.23,0,,1,"","","",,
686,1,"CONTADO",,25.2,0,,1,"","","",,
687,2,"TARJETA",,146.83,0,,5,"0","0","",,
688,1,"CONTADO",,33.2,0,,1,"","","",,
689,1,"CONTADO",,42.04,0,,1,"","","",,
690,1,"CONTADO",,0,0,,1,"","","",,
691,1,"CONTADO",,0,0,,1,"","","",,
692,1,"CONTADO",,0,0,,1,"","","",,
693,1,"CONTADO",,58.84,0,,1,"","","",,
694,1,"CONTADO",,22.25,0,,1,"","","",,
697,1,"CONTADO",,12.18,0,,1,"","","",,
700,1,"CONTADO",,62.97,0,,1,"","","",,
703,1,"CONTADO",,11,0,,1,"","","",,
704,1,"CONTADO",,145.9,0,,1,"","","",,
705,1,"CONTADO",,30.34,0,,1,"","","",,
706,1,"CONTADO",,11,0,,1,"","","",,
708,1,"CONTADO",,78.05,0,,1,"","","",,
710,1,"CONTADO",,64,0,,1,"","","",,
711,1,"CONTADO",,101.92,0,,1,"","","",,
712,1,"CONTADO",,33.5,0,,1,"","","",,
714,1,"CONTADO",,232,0,,1,"","","",,
717,1,"CONTADO",,241.22,0,,1,"","","",,
718,1,"CONTADO",,41.39,0,,1,"","","",,
719,1,"CONTADO",,89.02,0,,1,"","","",,
720,1,"CONTADO",,79.58,0,,1,"","","",,
721,1,"CONTADO",,34.33,0,,1,"","","",,
722,1,"CONTADO",,57.52,0,,1,"","","",,
723,1,"CONTADO",,42.72,0,,1,"","","",,
724,1,"CONTADO",,31.91,0,,1,"","","",,
725,1,"CONTADO",,69.55,0,,1,"","","",,
727,1,"CONTADO",,68.17,0,,1,"","","",,
728,1,"CONTADO",,107.72,0,,1,"","","",,
729,1,"CONTADO",,13.5,0,,1,"","","",,
730,1,"CONTADO",,34.29,0,,1,"","","",,
732,1,"CONTADO",,24,0,,1,"","","",,
734,1,"CONTADO",,48,0,,1,"","","",,
735,1,"CONTADO",,210.58,0,,1,"","","",,
739,1,"CONTADO",,452.87,0,,1,"","","",,
741,1,"CONTADO",,152.44,0,,1,"","","",,
746,1,"CONTADO",,101.56,0,,1,"","","",,
747,1,"CONTADO",,89.6,0,,1,"","","",,
748,1,"CONTADO",,26.85,0,,1,"","","",,
749,1,"CONTADO",,73.28,0,,1,"","","",,
751,1,"CONTADO",,75.69,0,,1,"","","",,
753,1,"CONTADO",,124.93,0,,1,"","","",,
754,1,"CONTADO",,0,0,,1,"","","",,
755,1,"CONTADO",,0,0,,1,"","","",,
756,1,"CONTADO",,17,0,,1,"","","",,
757,1,"CONTADO",,57.76,0,,1,"","","",,
760,1,"CONTADO",,40.38,0,,1,"","","",,
762,1,"CONTADO",,192.45,0,,1,"","","",,
763,1,"CONTADO",,0,0,,1,"","","",,
764,1,"CONTADO",,265.27,0,,1,"","","",,
765,1,"CONTADO",,113.1,0,,1,"","","",,
766,1,"CONTADO",,42.48,0,,1,"","","",,
769,1,"CONTADO",,0,0,,1,"","","",,
770,1,"CONTADO",,169,0,,1,"","","",,
773,1,"CONTADO",,23.72,0,,1,"","","",,
774,1,"CONTADO",,172.07,0,,1,"","","",,
775,1,"CONTADO",,128.39,0,,1,"","","",,
776,1,"CONTADO",,63.84,0,,1,"","","",,
777,1,"CONTADO",,263.6,0,,1,"","","",,
778,1,"CONTADO",,0,0,,1,"","","",,
779,1,"CONTADO",,0,0,,1,"","","",,
780,1,"CONTADO",,0,0,,1,"","","",,
781,1,"CONTADO",,0,0,,1,"","","",,
782,1,"CONTADO",,25.76,0,,1,"","","",,
783,1,"CONTADO",,10,0,,1,"","","",,
784,1,"CONTADO",,0,0,,1,"","","",,
787,1,"CONTADO",,378.21,0,,1,"","","",,
790,1,"CONTADO",,126.01,0,,1,"","","",,
796,1,"CONTADO",,107.76,0,,1,"","","",,
798,1,"CONTADO",,63.82,0,,1,"","","",,
801,1,"CONTADO",,937.55,0,,1,"","","",,
802,1,"CONTADO",,34.25,0,,1,"","","",,
803,1,"CONTADO",,31.98,0,,1,"","","",,
804,1,"CONTADO",,48.19,0,,1,"","","",,
805,1,"CONTADO",,135.77,0,,1,"","","",,
806,1,"CONTADO",,137.31,0,,1,"","","",,
807,1,"CONTADO",,127.23,0,,1,"","","",,
808,1,"CONTADO",,47.85,0,,1,"","","",,
810,1,"CONTADO",,75.09,0,,1,"","","",,
811,1,"CONTADO",,16.9,0,,1,"","","",,
812,1,"CONTADO",,20.56,0,,1,"","","",,
813,1,"CONTADO",,34.78,0,,1,"","","",,
814,1,"CONTADO",,885.29,0,,1,"","","",,
816,1,"CONTADO",,35.29,0,,1,"","","",,
817,1,"CONTADO",,150.53,0,,1,"","","",,
819,1,"CONTADO",,0,0,,1,"","","",,
820,1,"CONTADO",,0,0,,1,"","","",,
823,1,"CONTADO",,490.35,0,,1,"","","",,
824,1,"CONTADO",,486.67,0,,1,"","","",,
826,1,"CONTADO",,98.22,0,,1,"","","",,
827,1,"CONTADO",,48.67,0,,1,"","","",,
828,1,"CONTADO",,0,0,,1,"","","",,
830,1,"CONTADO",,65.49,0,,1,"","","",,
831,1,"CONTADO",,14.59,0,,1,"","","",,
833,1,"CONTADO",,181.1,0,,1,"","","",,
834,1,"CONTADO",,35.62,0,,1,"","","",,
835,1,"CONTADO",,0,0,,1,"","","",,
837,1,"CONTADO",,392.27,0,,1,"","","",,
838,1,"CONTADO",,130.32,0,,1,"","","",,
